단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-06-01 07:20:00,50000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2022-06-01 08:15:00,32000,능동,서울시민안전체험관 앞,주차금지(황색점선)구역,미견인
2022-06-01 08:36:00,32000,자양동,서울특별시 광진구 자양로7길 8,보도,미견인
2022-06-01 10:40:00,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
2022-06-01 10:45:00,40000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인
2022-06-01 10:52:00,40000,군자동,499,보도,미견인
2022-06-01 11:40:00,40000,구의동,252-23,보도,미견인
2022-06-01 11:40:00,32000,구의동,252-23,보도,미견인
2022-06-01 11:44:00,32000,자양동,서울특별시 광진구 자양로 95-2,횡단보도,미견인
2022-06-01 11:57:00,40000,자양동,CU 자양써밋플레이스점 건너,주차금지(황색점선)구역,미견인
2022-06-01 12:52:00,32000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-06-01 15:58:00,32000,중곡동,191-128,보도,미견인
2022-06-01 16:12:00,40000,자양동,855-2,안전지대,미견인
2022-06-01 16:37:00,32000,구의동,서울특별시 광진구 자양로18길 53,횡단보도,미견인
2022-06-01 16:59:00,32000,자양동,591-12,횡단보도,미견인
2022-06-01 17:02:00,40000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인
2022-06-01 17:17:00,32000,광장동,서울시 광진구 광장동 484,버스정류소,미견인
2022-06-01 18:16:00,40000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인
2022-06-01 18:18:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-06-01 18:31:00,32000,광장동,325-4,보도,미견인
2022-06-01 18:52:00,32000,광장동,328-2,보도,미견인
2022-06-01 19:04:00,32000,능동,서울시민안전체험관 앞,주차금지(황색점선)구역,미견인
2022-06-01 19:19:00,32000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-06-01 19:20:00,32000,자양동,CU 자양써밋플레이스점 건너,주차금지(황색점선)구역,미견인
2022-06-01 19:21:00,32000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인
2022-06-01 19:23:00,40000,능동,서울특별시 광진구 광나루로 456,횡단보도,미견인
2022-06-01 19:31:00,32000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-06-01 19:44:00,32000,구의동,248-19,횡단보도,미견인
2022-06-01 19:44:00,32000,구의동,248-138,횡단보도,미견인
2022-06-01 19:50:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-06-01 20:17:00,32000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-06-01 20:34:00,40000,자양동,CU 자양써밋플레이스점 건너,보도,미견인
2022-06-01 20:56:00,40000,자양동,서울특별시 광진구 아차산로 320,보도,미견인
2022-06-01 20:56:00,40000,구의동,동서울터미널 주차장 앞,교통소통장애,미견인
2022-06-01 21:13:00,32000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인
2022-06-01 21:30:00,32000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인
2022-06-02 00:17:00,40000,자양동,855-2,안전지대,미견인
2022-06-02 00:40:00,40000,군자동,474-28,보도,미견인
2022-06-02 09:52:00,40000,능동,군자역 5번가구할인매장앞,교차로,미견인
2022-06-02 10:04:00,32000,구의동,아차산로,교통소통장애,미견인
2022-06-02 10:05:00,96000,구의동,아차산로,주차금지(황색점선)구역,미견인
2022-06-02 10:15:00,32000,구의동,광나루로56길,주정차금지(황색실선)구역,미견인
2022-06-02 10:20:00,40000,광장동,아차산로70길,안전지대,미견인
2022-06-02 10:28:00,32000,광장동,광장로,교통소통장애,미견인
2022-06-02 10:35:00,40000,광장동,광나루로,주차금지(황색점선)구역,미견인
2022-06-02 10:36:00,40000,구의동,광나루로,주차금지(황색점선)구역,미견인
2022-06-02 10:52:00,96000,광장동,아차산로,주차금지(황색점선)구역,미견인
2022-06-02 13:29:00,40000,자양동,730,보도,미견인
2022-06-02 13:36:00,32000,자양동,아차산로,보도,미견인
2022-06-02 13:36:00,40000,자양동,아차산로,보도,미견인
2022-06-02 13:46:00,32000,군자동,355-2,보도,미견인
2022-06-02 13:56:00,32000,자양동,뚝섬로30길,보도,미견인
2022-06-02 13:56:00,40000,자양동,뚝섬로30길,주차금지(황색점선)구역,미견인
2022-06-02 13:56:00,40000,자양동,능동로,보도,미견인
2022-06-02 14:00:00,32000,자양동,자양강변길,주차금지(황색점선)구역,미견인
2022-06-02 14:00:00,40000,자양동,자양강변길,주차금지(황색점선)구역,미견인
2022-06-02 14:10:00,40000,중곡동,서울특별시 광진구 면목로 154,보도,미견인
2022-06-02 14:16:00,32000,중곡동,동일로,주차금지(황색점선)구역,미견인
2022-06-02 14:17:00,40000,중곡동,동일로,주차금지(황색점선)구역,미견인
2022-06-02 14:36:00,40000,자양동,능동로,보도,미견인
2022-06-02 14:37:00,32000,자양동,이튼타워리버3차 앞,보도,미견인
2022-06-02 15:01:00,40000,중곡동,긴고랑로,주차금지(황색점선)구역,미견인
2022-06-02 15:01:00,40000,중곡동,면목로,주차금지(황색점선)구역,미견인
2022-06-02 15:03:00,32000,중곡동,긴고랑로,교통소통장애,미견인
2022-06-02 15:03:00,32000,중곡동,긴고랑로,교통소통장애,미견인
2022-06-02 15:03:00,40000,중곡동,긴고랑로,주차금지(황색점선)구역,미견인
2022-06-02 15:16:00,96000,구의동,구의동 금성빌라 앞,소방기계 비치장소,미견인
2022-06-02 15:35:00,32000,중곡동,244-45,보도,미견인
2022-06-02 15:50:00,40000,중곡동,군자역 4번심서방앞,주정차금지(황색실선)구역,미견인
2022-06-02 15:56:00,40000,광장동,아차산로78가길,주차금지(황색점선)구역,미견인
2022-06-02 15:57:00,32000,광장동,아차산로78가길,교통소통장애,미견인
2022-06-02 15:59:00,32000,광장동,광장로,보도,미견인
2022-06-02 15:59:00,32000,광장동,광장로7길,교통소통장애,미견인
2022-06-02 16:00:00,32000,광장동,광장로,교통소통장애,미견인
2022-06-02 16:28:00,32000,중곡동,서울특별시 광진구 천호대로 635-2,보도,미견인
2022-06-02 16:52:00,40000,구의동,구의동 251-43,횡단보도,미견인
2022-06-02 17:56:00,32000,광장동,328-2,보도,미견인
2022-06-02 18:09:00,80000,광장동,320-4,소화전,미견인
2022-06-02 18:38:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-06-02 18:58:00,40000,화양동,서울특별시 광진구 광나루로 424,보도,미견인
2022-06-02 19:37:00,40000,중곡동,서울특별시 광진구 긴고랑로 71,버스정류소,미견인
2022-06-02 20:03:00,32000,광장동,317-5,보도,미견인
2022-06-02 20:09:00,40000,구의동,607,보도,미견인
2022-06-02 20:10:00,32000,광장동,서울시 광진구 아차산로 608,보도,미견인
2022-06-02 20:23:00,32000,중곡동,서울특별시 광진구 영화사로 21-1,보도,미견인
2022-06-02 20:34:00,40000,광장동,250-2,보도,미견인
2022-06-02 22:01:00,32000,광장동,484,버스정류소,미견인
2022-06-02 22:55:00,40000,중곡동,51-33,횡단보도,미견인
2022-06-02 23:54:00,32000,중곡동,서울 광진구 중곡동 316-1,도로 모퉁이,미견인
2022-06-03 02:22:00,40000,중곡동,서울 광진구 중곡동 43-7 주차장앞,주차금지(황색점선)구역,미견인
2022-06-03 02:37:00,50000,자양동,서울 광진구 자양동 236-189 보도막음,보도,미견인
2022-06-03 06:32:00,40000,자양동,서울특별시 광진구 뚝섬로 691-1,보도,미견인
2022-06-03 06:33:00,32000,광장동,566,버스정류소,미견인
