단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-01-01 00:25:00,32000,자양강변길,740,횡단보도,미견인
2023-01-01 03:36:00,32000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 03:38:00,40000,자양동,서울특별시 광진구 자양로 61,보도,미견인
2023-01-01 07:10:00,40000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2023-01-01 07:12:00,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 07:37:00,40000,중곡동,440,버스정류소,미견인
2023-01-01 08:47:00,40000,구의동,강변역 4번 출구,주정차금지(황색실선)구역,미견인
2023-01-01 09:02:00,32000,광장동,328-2,버스정류소,미견인
2023-01-01 09:04:00,32000,광장동,328-2,버스정류소,미견인
2023-01-01 09:33:00,32000,구의동,서울특별시 광진구 아차산로55길 11,횡단보도,미견인
2023-01-01 10:11:00,10000,중곡동,263-1,보도,미견인
2023-01-01 10:12:00,40000,구의동,동서울터미널 주차장 앞,교통소통장애,미견인
2023-01-01 10:14:00,40000,자양동,서울특별시 광진구 자양로13길 98,횡단보도,미견인
2023-01-01 10:15:00,32000,능동,256-16,보도,미견인
2023-01-01 10:19:00,32000,능동,256-16,보도,미견인
2023-01-01 10:45:00,32000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2023-01-01 10:47:00,40000,중곡동,266-5,보도,미견인
2023-01-01 11:21:00,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:21:00,32000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:25:00,40000,중곡동,서울 광진구 중곡동 437-8,교통소통장애,미견인
2023-01-01 11:30:00,32000,자양동,서울특별시 광진구 뚝섬로31길 5,보도,미견인
2023-01-01 12:55:00,32000,중곡동,150-103,보도,미견인
2023-01-01 13:44:00,32000,구의동,223-10,보도,미견인
2023-01-01 15:09:00,32000,구의동,631-4,버스정류소,미견인
2023-01-01 16:17:00,32000,군자동,서울특별시 광진구 능동로 243-1,보도,미견인
2023-01-01 16:19:00,32000,중곡동,639-32,보도,미견인
2023-01-01 16:19:00,40000,중곡동,639-7,보도,미견인
2023-01-01 16:25:00,40000,구의동,동서울터미널 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 16:47:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2023-01-01 17:31:00,64000,광장동,453-7,특별구역,미견인
2023-01-01 17:33:00,40000,광장동,453-7,교차로,미견인
2023-01-01 17:35:00,40000,광장동,486-1,교차로,미견인
2023-01-01 17:37:00,32000,광장동,486-1,버스정류소,미견인
2023-01-01 17:39:00,40000,광장동,486-1,교차로,미견인
2023-01-01 17:59:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 18:11:00,32000,중곡동,452-1,버스정류소,미견인
2023-01-01 18:16:00,50000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2023-01-01 18:22:00,40000,구의동,546-3,버스정류소,미견인
2023-01-01 18:50:00,32000,구의동,지너스타워 주차장 앞,횡단보도,미견인
2023-01-01 19:03:00,32000,화양동,건대입구 3번 출구 앞,주정차금지(황색실선)구역,미견인
2023-01-01 19:11:00,32000,중곡동,서울특별시 광진구 면목로 120,보도,미견인
2023-01-01 19:13:00,32000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2023-01-01 19:16:00,32000,중곡동,서울특별시 광진구 긴고랑로 15,버스정류소,미견인
2023-01-01 19:22:00,40000,중곡동,서울특별시 광진구 긴고랑로 11-2,보도,미견인
2023-01-01 19:29:00,32000,중곡동,서울특별시 광진구 면목로 112,보도,미견인
2023-01-01 19:32:00,40000,중곡동,서울특별시 광진구 긴고랑로 32,횡단보도,미견인
2023-01-01 19:33:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 19:34:00,8000,구의동,546-3,버스정류소,미견인
2023-01-01 19:37:00,32000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2023-01-01 19:37:00,40000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2023-01-01 19:39:00,40000,중곡동,440,버스정류소,미견인
2023-01-01 19:39:00,80000,광장동,245-1,특별구역,미견인
2023-01-01 19:41:00,32000,구의동,서울특별시 광진구 자양로 275,보도,미견인
2023-01-01 19:43:00,32000,중곡동,서울특별시 광진구 능동로 415,버스정류소,미견인
2023-01-01 19:57:00,40000,중곡동,서울특별시 광진구 긴고랑로 90,횡단보도,미견인
2023-01-01 20:04:00,40000,중곡동,서울특별시 광진구 용마산로 85,보도,미견인
2023-01-01 20:09:00,40000,중곡동,서울특별시 광진구 용마산로 101,보도,미견인
2023-01-01 20:09:00,32000,구의동,지너스타워 주차장 앞,횡단보도,미견인
2023-01-01 20:11:00,40000,중곡동,서울특별시 광진구 용마산로 103,보도,미견인
2023-01-01 20:33:00,32000,구의동,리젠트오피스텔건너편,교통소통장애,미견인
2023-01-01 20:49:00,40000,구의동,서울특별시 광진구 자양로 324,보도,미견인
2023-01-01 21:37:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-01 22:47:00,32000,자양동,서울특별시 광진구 뚝섬로 513,보도,미견인
2023-01-02 06:31:00,32000,자양동,서울특별시 광진구 뚝섬로31가길 1,보도,미견인
2023-01-02 07:58:00,32000,구의동,리젠트오피스텔건너편,교통소통장애,미견인
2023-01-02 08:29:00,32000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인
2023-01-02 08:30:00,40000,구의동,서울 광진구 구의동 15-1,교통소통장애,미견인
2023-01-02 08:42:00,16000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-02 08:58:00,32000,자양동,서울 광진구 자양동 23-3,교통소통장애,미견인
2023-01-02 08:59:00,32000,자양동,서울특별시 광진구 동일로20길 7,교통소통장애,미견인
2023-01-02 09:00:00,32000,자양동,서울 광진구 자양동 23-3,도로 모퉁이,미견인
2023-01-02 09:02:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-01-02 09:06:00,32000,광장동,서울 광진구 광장동 56-2,안전지대,미견인
2023-01-02 09:21:00,40000,구의동,강변역 4번 출구,안전지대,미견인
2023-01-02 09:59:00,32000,구의동,아차산역 5번출구 앞,주차금지(황색점선)구역,미견인
2023-01-02 10:08:00,32000,구의동,리젠트오피스텔건너편,교통소통장애,미견인
2023-01-02 10:51:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2023-01-02 10:51:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2023-01-02 11:06:00,40000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2023-01-02 11:08:00,32000,자양동,서울 광진구 자양동 97-1,도로 모퉁이,미견인
2023-01-02 11:23:00,40000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2023-01-02 11:54:00,32000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2023-01-02 11:56:00,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:21:00,40000,중곡동,고신경정신과의원 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:31:00,32000,광장동,SK강평주유소 앞,주차금지(황색점선)구역,미견인
2023-01-02 12:43:00,40000,화양동,서울특별시 광진구 아차산로 219-2,보도,미견인
2023-01-02 13:13:00,40000,자양동,서울특별시 광진구 뚝섬로34길 25-19,도로 모퉁이,미견인
2023-01-02 13:18:00,40000,자양동,김밥타운 앞,주차금지(황색점선)구역,미견인
2023-01-02 13:23:00,40000,구의동,강변역 4번 출구,교통소통장애,미견인
