단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-09-02 13:28:00,120000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인
2022-09-02 13:37:00,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-09-02 13:45:00,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-09-02 13:56:00,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-09-02 14:15:00,32000,구의동,리젠트오피스텔건너편,안전지대,미견인
2022-09-02 14:19:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-09-02 14:34:00,32000,능동,아씨방 앞,주정차금지(황색실선)구역,미견인
2022-09-02 14:45:00,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-09-02 15:16:00,40000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인
2022-09-02 15:23:00,32000,중곡동,162-3,보도,미견인
2022-09-02 15:33:00,32000,군자동,두산위브 앞,주정차금지(황색실선)구역,미견인
2022-09-02 15:55:00,40000,구의동,리젠트오피스텔건너편,주차금지(황색점선)구역,미견인
2022-09-02 16:03:00,32000,자양동,자양동 동제한의원 앞,주정차금지(황색실선)구역,미견인
2022-09-02 16:07:00,40000,광장동,광장 힐스테이 상가 건너편,교차로,미견인
2022-09-02 16:13:00,32000,자양동,서울특별시 광진구 능동로 19,교통소통장애,미견인
2022-09-02 16:18:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-09-02 16:36:00,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-09-02 16:41:00,40000,자양동,서울특별시 광진구 뚝섬로40길 45,도로 모퉁이,미견인
2022-09-02 16:48:00,40000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-09-02 17:25:00,32000,능동,256-16,보도,미견인
2022-09-02 17:38:00,32000,중곡동,서울특별시 광진구 능동로 342,버스정류소,미견인
2022-09-02 17:44:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
