법정동,2201,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2301,2302
중곡동,227,284,266,293,269,77,56,17,5,4,2,11,263,194
군자동,49,91,91,78,75,11,8,6,1,1,3,1,20,14
능동,218,268,326,580,375,87,88,56,53,55,43,69,98,54
구의동,402,331,329,321,308,111,110,138,64,75,76,84,138,108
광장동,241,195,212,365,298,55,23,24,3,14,10,0,30,23
화양동,117,106,103,195,158,20,17,9,0,0,2,5,12,12
자양동,402,307,334,386,400,54,95,56,54,33,53,35,102,103
