단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-12-01 02:48:00,40000,자양동,729,보도,미견인
2022-12-01 07:17:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-01 07:34:00,32000,중곡동,MB모터스 옆,주정차금지(황색실선)구역,미견인
2022-12-01 08:59:00,32000,중곡동,군자역 4번심서방앞,주정차금지(황색실선)구역,미견인
2022-12-01 09:06:00,50000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-12-01 09:11:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-12-01 09:26:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-12-01 10:09:00,32000,광장동,서울특별시 광진구 구천면로 13,보도,미견인
2022-12-01 10:16:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-12-01 11:00:00,32000,구의동,서울특별시 광진구 아차산로 438,보도,미견인
2022-12-01 11:01:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-12-01 13:21:00,96000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인
2022-12-01 13:38:00,96000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-12-01 14:01:00,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-12-01 14:02:00,96000,중곡동,신성그랜드타워 앞,주정차금지(황색실선)구역,미견인
2022-12-01 14:07:00,96000,자양동,이튼타워리버3차 앞,주차금지(황색점선)구역,미견인
2022-12-01 15:02:00,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
2022-12-01 15:16:00,32000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-12-01 15:21:00,40000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-12-01 15:31:00,32000,중곡동,서울특별시 광진구 면목로 146-1,버스정류소,미견인
2022-12-01 15:31:00,32000,자양동,712,횡단보도,미견인
2022-12-01 15:57:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-12-01 15:58:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-01 15:58:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-01 15:59:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-01 16:05:00,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-12-01 16:06:00,32000,중곡동,군자역 4번심서방앞,주정차금지(황색실선)구역,미견인
2022-12-01 16:23:00,40000,군자동,군자 메가박스 앞,주차금지(황색점선)구역,미견인
2022-12-01 16:42:00,32000,중곡동,서울 광진구 중곡동 263-1,보도,견인처리
2022-12-01 16:44:00,32000,중곡동,서울 광진구 중곡동 267-4,교통소통장애,미견인
2022-12-01 16:58:00,40000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-12-01 16:58:00,32000,구의동,지너스타워 주차장 앞,횡단보도,미견인
2022-12-01 18:15:00,32000,화양동,건대입구 1번 출구 앞,주정차금지(황색실선)구역,미견인
2022-12-01 18:22:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-12-01 18:30:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-12-01 18:32:00,32000,구의동,강변역 1번 출구,주차금지(황색점선)구역,미견인
2022-12-01 18:48:00,50000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-01 18:56:00,40000,구의동,서울특별시 광진구 자양로22길 25,횡단보도,미견인
2022-12-01 18:56:00,40000,구의동,251-43,횡단보도,미견인
2022-12-01 19:02:00,120000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인
2022-12-01 19:15:00,32000,광장동,453-7,횡단보도,미견인
2022-12-01 19:16:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-12-01 19:32:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-12-01 19:46:00,40000,중곡동,Sep-83,버스정류소,미견인
2022-12-01 20:00:00,32000,자양동,662-13,보도,미견인
2022-12-01 20:12:00,32000,군자동,서울특별시 광진구 면목로 17,보도,미견인
2022-12-01 20:13:00,32000,구의동,강변 스파랜드 앞,교통소통장애,미견인
2022-12-01 20:38:00,40000,중곡동,서울특별시 광진구 용마산로33길 25,도로 모퉁이,미견인
2022-12-01 20:39:00,40000,중곡동,서울특별시 광진구 용마산로33길 25,교통소통장애,미견인
2022-12-01 20:50:00,40000,구의동,203-27,횡단보도,미견인
2022-12-01 21:10:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-12-01 21:11:00,10000,자양동,서울특별시 광진구 뚝섬로 520-3,안전지대,미견인
2022-12-01 21:12:00,32000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-12-01 21:32:00,32000,중곡동,150-196,횡단보도,미견인
2022-12-01 21:36:00,32000,자양동,서울특별시 광진구 아차산로 238,보도,미견인
2022-12-01 21:37:00,40000,자양동,623-3,횡단보도,미견인
2022-12-01 21:38:00,32000,중곡동,서울특별시 광진구 긴고랑로20길 3,버스정류소,미견인
2022-12-01 21:55:00,32000,중곡동,서울특별시 광진구 천호대로 537,보도,미견인
2022-12-01 22:03:00,40000,광장동,484,횡단보도,미견인
2022-12-01 22:05:00,40000,광장동,486-1,교차로,미견인
2022-12-01 23:04:00,32000,자양동,04-01,교차로,미견인
2022-12-01 23:53:00,32000,중곡동,440,버스정류소,미견인
2022-12-02 01:12:00,32000,자양동,서울특별시 광진구 뚝섬로31길 27,횡단보도,미견인
2022-12-02 07:12:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-12-02 07:14:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-12-02 07:33:00,40000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-12-02 08:20:00,50000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인
2022-12-02 09:06:00,32000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-12-02 09:11:00,120000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-12-02 09:14:00,32000,구의동,구의동 금성빌라 앞,횡단보도,미견인
2022-12-02 10:29:00,32000,구의동,강변역 4번 출구,주차금지(황색점선)구역,미견인
2022-12-02 10:52:00,32000,광장동,모두투어앞,주차금지(황색점선)구역,미견인
2022-12-02 11:12:00,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-12-02 11:29:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-12-02 11:39:00,120000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-12-02 12:05:00,40000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-12-02 12:08:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
2022-12-02 12:35:00,40000,광장동,모두투어앞,주차금지(황색점선)구역,미견인
2022-12-02 12:40:00,40000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2022-12-02 12:43:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-12-02 12:53:00,32000,중곡동,669,보도,미견인
2022-12-02 13:18:00,40000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-12-02 13:54:00,32000,구의동,546-3,버스정류소,미견인
2022-12-02 14:07:00,40000,구의동,서울특별시 광진구 광나루로 520,횡단보도,미견인
2022-12-02 14:25:00,120000,군자동,노인종합복지관 앞,보도,미견인
2022-12-02 14:35:00,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-12-02 14:45:00,32000,화양동,건대분수광장 건너편,주정차금지(황색실선)구역,미견인
2022-12-02 14:55:00,40000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2022-12-02 14:56:00,96000,구의동,613-11,특별구역,미견인
2022-12-02 15:21:00,40000,중곡동,MB모터스 옆,교통소통장애,미견인
2022-12-02 15:26:00,96000,광장동,광현교회 앞,주차금지(황색점선)구역,미견인
2022-12-02 15:29:00,32000,구의동,서울특별시 광진구 아차산로 438,보도,미견인
2022-12-02 15:38:00,40000,구의동,202-22,보도,미견인
2022-12-02 16:01:00,32000,화양동,건대입구 1번 출구 앞,주정차금지(황색실선)구역,미견인
2022-12-02 16:10:00,32000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인
2022-12-02 17:02:00,40000,구의동,강변역 4번 출구,안전지대,미견인
2022-12-02 17:33:00,96000,자양동,이튼타워리버3차 앞,주차금지(황색점선)구역,미견인
