단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2023-02-01 04:30:00,40000,자양동,718-1,교차로,미견인
2023-02-01 06:38:00,32000,능동,456-2,보도,미견인
2023-02-01 07:05:00,8000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-02-01 07:16:00,40000,화양동,서울 광진구 화양동 111-219,교차로,미견인
2023-02-01 07:29:00,32000,광장동,서울특별시 광진구 아차산로78길 90,보도,미견인
2023-02-01 08:48:00,16000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2023-02-01 08:54:00,32000,구의동,리젠트오피스텔건너편,안전지대,미견인
2023-02-01 09:07:00,120000,군자동,두산위브 앞,주정차금지(황색실선)구역,미견인
2023-02-01 09:37:00,32000,구의동,강변역 4번 출구,안전지대,미견인
2023-02-01 10:00:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-02-01 10:38:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2023-02-01 11:56:00,40000,구의동,구의동 웰츠타워 앞,횡단보도,미견인
2023-02-01 12:06:00,40000,중곡동,669,보도,미견인
2023-02-01 13:04:00,32000,자양동,한국보건의료인 국가시험원 앞,보도,미견인
2023-02-01 13:06:00,32000,중곡동,신성슈퍼마켓 앞,주차금지(황색점선)구역,미견인
2023-02-01 13:07:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2023-02-01 13:15:00,96000,군자동,노인종합복지관 앞,횡단보도,미견인
2023-02-01 13:28:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2023-02-01 13:45:00,32000,중곡동,서울 광진구 중곡동 150-101,보도,미견인
2023-02-01 13:53:00,32000,중곡동,서울 광진구 중곡동 150-71,보도,미견인
2023-02-01 13:55:00,96000,중곡동,서울 광진구 중곡동 21-10,보도,미견인
2023-02-01 14:01:00,32000,중곡동,서울 광진구 중곡동 150-72,보도,미견인
2023-02-01 14:04:00,40000,자양동,이튼타워리버3차 앞,주차금지(황색점선)구역,미견인
2023-02-01 14:14:00,32000,군자동,464-1,보도,미견인
2023-02-01 14:15:00,32000,중곡동,서울특별시 광진구 용마산로 46,버스정류소,미견인
2023-02-01 14:18:00,40000,중곡동,서울 광진구 중곡동 80-9,보도,미견인
2023-02-01 14:24:00,40000,구의동,리젠트오피스텔건너편,안전지대,미견인
2023-02-01 14:28:00,32000,중곡동,서울특별시 광진구 천호대로 603,보도,미견인
2023-02-01 14:31:00,32000,중곡동,서울특별시 광진구 천호대로 601,보도,미견인
2023-02-01 14:34:00,32000,중곡동,서울 광진구 중곡동 132-24,보도,미견인
2023-02-01 14:40:00,40000,능동,서울 광진구 능동 246-8,보도,미견인
2023-02-01 14:48:00,40000,능동,서울특별시 광진구 천호대로 606,보도,미견인
2023-02-01 14:52:00,32000,능동,서울 광진구 능동 237-11,보도,미견인
2023-02-01 15:00:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2023-02-01 15:00:00,120000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2023-02-01 15:24:00,32000,자양동,이튼타워리버3차 앞,주차금지(황색점선)구역,미견인
2023-02-01 15:41:00,32000,구의동,동서울터미널 주차장 앞,횡단보도,미견인
2023-02-01 16:13:00,40000,구의동,구의동 웰츠타워 앞,주정차금지(황색실선)구역,미견인
2023-02-01 16:47:00,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2023-02-01 16:56:00,32000,중곡동,639-2,보도,미견인
2023-02-01 17:02:00,32000,중곡동,신성슈퍼마켓 앞,횡단보도,미견인
2023-02-01 17:10:00,32000,자양동,파리바게트 앞,주차금지(황색점선)구역,미견인
2023-02-01 17:32:00,32000,능동,7호선 군자역 현대홈마트 인근,주정차금지(황색실선)구역,미견인
2023-02-01 17:44:00,96000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인
