단속장소,위도,경도
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울 광진구 구의동 220-41,37.5390731,127.0905426
서울특별시 광진구 천호대로131길 7,37.5517336,127.0905436
건대입구 1번 출구 앞,37.540372,127.069276
서울특별시 광진구 용마산로5길 49,37.5573422,127.0849744
서울 광진구 중곡동 668,37.5586673,127.0788773
건대입구 3번 출구 앞,37.540372,127.069276
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 중곡동 263-1,37.5645564,127.076628
서울 광진구 중곡동 263-1,37.5645564,127.076628
서울 광진구 자양동 74-21 공원입구막음,37.5329365,127.0663936
서울특별시 광진구 면목로 169,37.5684119,127.0825064
강변역 4번 출구,37.535098,127.094695
지너스타워 주차장 앞,37.2008645,127.5440624
서울 광진구 자양동 743,37.5305447,127.0852382
강변역 4번 출구,37.535098,127.094695
서울특별시 광진구 능동로 275-1 동원빌딩,37.5546997,127.077762
강변역 4번 출구,37.535098,127.094695
서울 광진구 광장동 453-7,37.541904,127.1015874
서울 광진구 광장동 453-7,37.541904,127.1015874
서울 광진구 광장동 453-7,37.541904,127.1015874
서울 광진구 광장동 453-7,37.541904,127.1015874
서울특별시 광진구 능동로 373,37.5627248,127.0822682
서울특별시 광진구 능동로 373,37.5627248,127.0822682
서울특별시 광진구 뚝섬로 486,37.5362268,127.064289
세종대정문 택시승강장,37.5518018,127.0736345
건대입구 3번 출구 앞,37.540372,127.069276
동서울터미널 주차장 앞,37.5333713,127.0933675
강변역 4번 출구,37.535098,127.094695
지너스타워 주차장 앞,37.2008645,127.5440624
서울특별시 광진구 영화사로 40,37.5563249,127.0910483
서울 광진구 중곡동 100-16,37.5568272,127.0920673
서울특별시 광진구 아차산로25길 60,37.543885,127.0681584
서울 광진구 중곡동 150-77,37.5619819,127.0874438
서울특별시 광진구 아차산로25길 60,37.543885,127.0681584
동서울터미널 주차장 앞,37.5333713,127.0933675
서울 광진구 중곡동 266-5,37.5575789,127.087965
서울특별시 광진구 면목로 30,37.556755,127.0763883
서울 광진구 구의동 252-139,37.5384242,127.083856
서울특별시 광진구 자양로 116,37.5382263,127.0838691
서울특별시 광진구 자양로 116,37.5382263,127.0838691
서울 광진구 화양동 191,37.5474968,127.0722491
서울 광진구 화양동 191,37.5474968,127.0722491
서울특별시 광진구 광나루로 386,37.547397,127.0723072
서울특별시 광진구 아차산로 553,37.5436644,127.1024315
서울 광진구 중곡동 440,37.55560639999999,127.0923115
서울 광진구 중곡동 437-8 주차장앞,37.5567315,127.0933972
서울 광진구 중곡동 169-83,37.5686027,127.0843768
서울 광진구 자양동 74-26 공원입구 막음,37.5329199,127.0662035
서울특별시 광진구 능동로13길 36,37.5436242,127.0704062
서울 광진구 구의동 55-1 주차장막음,37.5516373,127.0913296
어린이대공원 정문,37.549363,127.0818126
강변역 1번 출구,37.535098,127.094695
파리바게트 앞,37.611396,127.022616
서울 광진구 군자동 489,37.5571574,127.0765053
서울 광진구 광장동 566,37.5424654,127.0962926
서울특별시 광진구 용마산로22길 20,37.5634973,127.0880738
서울 광진구 자양동 578-2,37.5351845,127.0754156
서울 광진구 자양동 520-7,37.5343587,127.0752136
MB모터스 옆,37.5634573,127.0782485
동서울터미널 주차장 앞,37.5333713,127.0933675
서울특별시 광진구 천호대로116길 36,37.55371040000001,127.0833312
서울 광진구 화양동 169-7,37.5455469,127.0720258
MB모터스 옆,37.5634573,127.0782485
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
신성그랜드타워 앞,37.5648702,127.0805429
서울특별시 광진구 천호대로116길 18,37.5544077,127.0837381
강변 스파랜드 앞,37.5348073,127.0915497
서울특별시 광진구 광나루로 478,37.544932,127.082053
서울 광진구 능동 270-9,37.5544688,127.0840775
서울특별시 광진구 광나루로 478,37.544932,127.082053
서울 광진구 자양로13길 96 (자양동),37.5328039,127.07994
서울특별시 광진구 동일로26길 50,37.5446301,127.0685525
광나루로,37.5443273,127.0863479
광나루로56길,37.5375292,127.0963368
광나루로,37.5443273,127.0863479
자양동 동제한의원 앞,37.5350128,127.083849
광나루로,37.5443273,127.0863479
서울특별시 광진구 면목로 152-1,37.5668935,127.0819295
서울 광진구 중곡동 172-57,37.5668935,127.0819295
광나루로48길,37.5430409,127.0932351
건대입구 1번 출구 앞,37.540372,127.069276
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
건대입구 1번 출구 앞,37.540372,127.069276
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울 광진구 뚝섬로56길 59 (자양동),37.5288562,127.0829213
서울 광진구 뚝섬로56길 56 (자양동),37.5289195,127.0826523
군자 CGV 앞,37.5557163,127.0783551
MB모터스 옆,37.5634573,127.0782485
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울 광진구 구의동 606,37.5343992,127.0905271
국립정신건강센터 건너편,37.564971,127.0856469
서울 광진구 구의동 606,37.5343992,127.0905271
서울특별시 광진구 아차산로 431,37.538653,127.0901794
서울 광진구 구의동 244-5,37.5386577,127.0902518
서울 광진구 구의동 244-5,37.5386577,127.0902518
서울 광진구 구의동 252-115,37.5378081,127.0846685
서울 광진구 구의동 252-115,37.5378081,127.0846685
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울 광진구 구의동 252-115,37.5378081,127.0846685
서울 광진구 구의동 252-115,37.5378081,127.0846685
구의동 웰츠타워 앞,37.53783130000001,127.0836456
강변역 1번 출구,37.535098,127.094695
서울 광진구 구의동 632-8,37.5447221,127.08224
능동로,37.550113,127.0771058
광장로,37.4919966,126.7241488
용마산로,37.5907951,127.0947948
건대입구 1번 출구 앞,37.540372,127.069276
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
군자로,38.0658239,127.0593915
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
긴고랑로,37.5615888,127.0880792
군자역 1번명품갤러리앞,37.5546039,127.0775406
동일로42길,37.5524345,127.0704831
건대입구 1번 출구 앞,37.540372,127.069276
광장로,37.4919966,126.7241488
국립정신건강센터 건너편,37.564971,127.0856469
서울특별시 광진구 자양강변길 89,37.5326842,127.0638822
서울 광진구 중곡동 58-17,37.5597487,127.0878553
서울특별시 광진구 용마산로 66,37.5595253,127.0878845
건대입구 3번 출구 앞,37.540372,127.069276
자양동 동제한의원 앞,37.5350128,127.083849
중곡지구대 앞,37.56354400000001,127.0888304
서울특별시 광진구 아차산로 431,37.538653,127.0901794
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
고신경정신과의원 앞,33.5001523,126.5181997
서울 광진구 광장동 535-3,37.5419757,127.0951475
서울 광진구 군자동 224,37.5524855,127.0761656
건대입구 1번 출구 앞,37.540372,127.069276
지너스타워 주차장 앞,37.2008645,127.5440624
건대입구 1번 출구 앞,37.540372,127.069276
MB모터스 옆,37.5634573,127.0782485
중곡문화체육센터 앞,37.56354400000001,127.0888304
MB모터스 옆,37.5634573,127.0782485
서울특별시 광진구 자양로 90,37.5358295,127.084207
건국대병원 맞은편,37.5404895,127.0719454
서울특별시 광진구 자양로 94,37.5361387,127.0840784
파리바게트 앞,37.611396,127.022616
지너스타워 주차장 앞,37.2008645,127.5440624
지너스타워 주차장 앞,37.2008645,127.5440624
건대입구 1번 출구 앞,37.540372,127.069276
강변역 4번 출구,37.535098,127.094695
강변역 4번 출구,37.535098,127.094695
MB모터스 옆,37.5634573,127.0782485
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
MB모터스 옆,37.5634573,127.0782485
서울특별시 광진구 자양로 186,37.5440106,127.0851259
서울특별시 광진구 자양로 186,37.5440106,127.0851259
서울 광진구 자양동 6-21,37.53885080000001,127.0672829
서울특별시 광진구 아차산로30길 26,37.5397874,127.0669345
서울특별시 광진구 아차산로30길 26,37.5397874,127.0669345
서울특별시 광진구 아차산로30길 26,37.5397874,127.0669345
서울 광진구 자양동 508-9,37.5356578,127.0670882
서울특별시 광진구 아차산로73길 8,37.5460034,127.1045538
서울특별시 광진구 아차산로76길 10,37.5476866,127.1074641
서울특별시 광진구 아차산로73길 8,37.5460034,127.1045538
서울 광진구 광장동 320-4,37.5471207,127.1080752
MB모터스 옆,37.5634573,127.0782485
서울 광진구 광장동 320-4,37.5471207,127.1080752
서울 광진구 구의동 631-3,37.5363234,127.0964137
서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212
서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212
서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212
서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212
서울특별시 광진구 광나루로56길 29,37.53739729999999,127.0976212
서울특별시 광진구 천호대로 536,37.5574963,127.0776573
서울 광진구 구의동 221-6,37.5389437,127.0891119
서울특별시 광진구 영화사로5길 35,37.5576486,127.0925893
서울 광진구 구의동 244-8,37.5388544,127.0897987
서울 광진구 구의동 244-8,37.5388544,127.0897987
서울특별시 광진구 영화사로3가길 21,37.557602,127.0935034
서울 광진구 자양동 743,37.5305447,127.0852382
서울 광진구 중곡동 200 주차장막음,37.5695061,127.0841756
서울 광진구 능동 265-8,37.5569218,127.0797121
서울 광진구 능동 280-1,37.5542596,127.0780253
서울 광진구 능동 280-1,37.5542596,127.0780253
서울 광진구 능동 280-1,37.5542596,127.0780253
구의동 웰츠타워 앞,37.53783130000001,127.0836456
서울특별시 광진구 천호대로127길 34,37.5540233,127.0906383
서울 광진구 중곡동 467-2 주차장앞,37.5566362,127.0894715
서울특별시 광진구 천호대로120길 42,37.5524134,127.0857691
서울특별시 광진구 뚝섬로 673,37.5320535,127.0841249
서울특별시 광진구 뚝섬로 673,37.5320535,127.0841249
서울 광진구 자양동 737,37.5305725,127.0722573
서울 광진구 자양동 587-16,37.530509,127.0717131
서울특별시 광진구 뚝섬로51길 75,37.5353304,127.0819424
서울특별시 광진구 자양로51길 13,37.5536943,127.0925969
서울 광진구 중곡동 150-103,37.5614019,127.0871114
서울특별시 광진구 동일로28길 43,37.5462511,127.069073
서울 광진구 광장동 293-2,37.5465678,127.105429
지너스타워 주차장 앞,37.2008645,127.5440624
MB모터스 옆,37.5634573,127.0782485
CU 자양써밋플레이스점 건너,37.5375824,127.0682493
서울특별시 광진구 광나루로 458,37.5441172,127.080781
서울 광진구 화양동 12-64,37.543561,127.0713588
서울특별시 광진구 광나루로 458,37.5441172,127.080781
서울 광진구 군자동 489,37.5571574,127.0765053
서울 광진구 자양동 732-2,37.5315271,127.0850898
서울 광진구 자양동 732-2,37.5315271,127.0850898
서울특별시 광진구 자양로5길 32,37.5312384,127.0839465
서울 광진구 자양동 57-8,37.5333006,127.0634554
서울 광진구 중곡동 276-14,37.5591295,127.088251
서울 광진구 자양동 57-8,37.5333006,127.0634554
서울 광진구 자양동 816-57,37.5331614,127.062312
서울 광진구 자양동 816-57,37.5331614,127.062312
서울 광진구 구의동 587-53,37.5368418,127.0915022
서울 광진구 중곡동 280-4,37.5627804,127.0809336
서울 광진구 구의동 587-69,37.5362435,127.09182
서울 광진구 화양동 110-2,37.5474311,127.070817
