단속일시,단속원금,단속동,단속장소,위반내용,견인지시
2022-11-01 01:39:00,32000,중곡동,서울특별시 광진구 긴고랑로44길 4,보도,미견인
2022-11-01 02:16:00,32000,자양동,553-517,횡단보도,미견인
2022-11-01 06:08:00,32000,광장동,566,버스정류소,미견인
2022-11-01 07:16:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-01 07:33:00,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-01 07:35:00,10000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-01 08:24:00,40000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인
2022-11-01 08:59:00,32000,자양동,712,횡단보도,미견인
2022-11-01 09:24:00,16000,능동,18-13,보도,미견인
2022-11-01 10:17:00,120000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2022-11-01 10:51:00,32000,군자동,두산위브 앞,교차로,미견인
2022-11-01 10:51:00,32000,자양동,성동초등학교 앞,주차금지(황색점선)구역,미견인
2022-11-01 11:56:00,32000,중곡동,공원약국 앞,주정차금지(황색실선)구역,미견인
2022-11-01 12:08:00,32000,자양동,744-1,보도,미견인
2022-11-01 12:10:00,32000,광장동,모두투어앞,주차금지(황색점선)구역,미견인
2022-11-01 12:15:00,40000,자양동,627-2,횡단보도,미견인
2022-11-01 12:33:00,40000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-01 12:36:00,40000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2022-11-01 13:09:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-01 13:20:00,96000,자양동,성동초등학교 앞,특별구역,미견인
2022-11-01 13:35:00,32000,광장동,567,버스정류소,미견인
2022-11-01 13:40:00,40000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-11-01 14:12:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-11-01 14:16:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-01 14:23:00,32000,자양동,서울특별시 광진구 아차산로 294,보도,미견인
2022-11-01 14:24:00,32000,중곡동,서울특별시 광진구 긴고랑로 90,횡단보도,미견인
2022-11-01 14:25:00,40000,자양동,서울특별시 광진구 아차산로 294,보도,미견인
2022-11-01 14:28:00,40000,자양동,서울특별시 광진구 아차산로 294,보도,미견인
2022-11-01 14:33:00,40000,중곡동,서울특별시 광진구 영화사로 24,보도,미견인
2022-11-01 14:35:00,40000,중곡동,우리은행 앞,도로 모퉁이,미견인
2022-11-01 14:37:00,40000,중곡동,서울특별시 광진구 영화사로 41,보도,미견인
2022-11-01 14:42:00,40000,중곡동,서울특별시 광진구 영화사로 59-1,버스정류소,미견인
2022-11-01 14:44:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-11-01 14:45:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-01 14:45:00,40000,군자동,군자 메가박스 앞,주차금지(황색점선)구역,미견인
2022-11-01 14:49:00,32000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-01 15:07:00,96000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-11-01 15:25:00,96000,군자동,노인종합복지관 앞,주차금지(황색점선)구역,미견인
2022-11-01 15:36:00,40000,능동,서울시민안전체험관 앞,횡단보도,미견인
2022-11-01 15:37:00,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-01 15:52:00,96000,자양동,이튼타워리버3차 앞,보도,미견인
2022-11-01 16:15:00,32000,자양동,853-3,교차로,미견인
2022-11-01 16:16:00,32000,구의동,서울특별시 광진구 강변역로4길 68,횡단보도,미견인
2022-11-01 16:38:00,32000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-01 16:58:00,40000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-11-01 17:02:00,104000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-01 17:16:00,40000,중곡동,우리은행 앞,횡단보도,미견인
2022-11-01 17:16:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-11-01 17:20:00,40000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-11-01 17:26:00,32000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-01 17:34:00,32000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-11-01 17:35:00,40000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-01 17:43:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-01 19:42:00,32000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-01 19:58:00,40000,구의동,31-7,보도,미견인
2022-11-01 20:06:00,40000,자양동,794-10,보도,미견인
2022-11-01 20:09:00,40000,자양동,794-10,보도,미견인
2022-11-01 20:21:00,40000,구의동,129-1,보도,미견인
2022-11-01 20:31:00,32000,화양동,건대입구 3번 출구 앞,주차금지(황색점선)구역,미견인
2022-11-01 20:46:00,32000,군자동,군자 메가박스 앞,주차금지(황색점선)구역,미견인
2022-11-01 20:49:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-01 21:08:00,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-11-01 21:16:00,40000,중곡동,150-196,횡단보도,미견인
2022-11-01 21:22:00,32000,자양동,건대역약국 앞,횡단보도,미견인
2022-11-01 21:25:00,32000,중곡동,서울특별시 광진구 긴고랑로 71,버스정류소,미견인
2022-11-01 21:27:00,32000,화양동,건대입구 1번 출구 앞,횡단보도,미견인
2022-11-01 21:30:00,40000,중곡동,서울특별시 광진구 긴고랑로20길 3,버스정류소,미견인
2022-11-01 21:33:00,40000,중곡동,150-178,횡단보도,미견인
2022-11-01 21:36:00,40000,자양동,서울특별시 광진구 아차산로 242,보도,미견인
2022-11-01 21:39:00,32000,구의동,지너스타워 주차장 앞,교통소통장애,미견인
2022-11-01 21:40:00,32000,중곡동,40-14,횡단보도,미견인
2022-11-01 21:42:00,32000,자양동,서울특별시 광진구 아차산로 208,보도,미견인
2022-11-01 21:44:00,32000,광장동,281-2,횡단보도,미견인
2022-11-01 21:46:00,40000,중곡동,서울특별시 광진구 긴고랑로 43,버스정류소,미견인
2022-11-01 21:56:00,40000,중곡동,241-58,버스정류소,미견인
2022-11-01 21:58:00,32000,광장동,486-1,버스정류소,미견인
2022-11-01 22:04:00,32000,광장동,484,교차로,미견인
2022-11-01 23:18:00,50000,중곡동,51-33,횡단보도,미견인
2022-11-02 02:34:00,40000,자양동,서울특별시 광진구 자양로13길 19,횡단보도,미견인
2022-11-02 04:10:00,32000,자양동,553-517,횡단보도,미견인
2022-11-02 07:35:00,40000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-02 08:57:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-02 09:22:00,96000,군자동,노인종합복지관 앞,보도,미견인
2022-11-02 09:30:00,40000,구의동,강변역 1번 출구,교통소통장애,미견인
2022-11-02 09:32:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-11-02 09:37:00,40000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-02 10:03:00,32000,자양동,627-2,횡단보도,미견인
2022-11-02 10:24:00,96000,구의동,강변 스파랜드 앞,보도,미견인
2022-11-02 11:29:00,40000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인
2022-11-02 11:38:00,40000,구의동,아차산역 5번출구 앞,주정차금지(황색실선)구역,미견인
2022-11-02 11:52:00,32000,군자동,군자역 8번 부근앞,주정차금지(황색실선)구역,미견인
2022-11-02 12:05:00,40000,중곡동,MB모터스 옆,교차로,미견인
2022-11-02 12:13:00,96000,중곡동,중곡지구대 앞,도로 모퉁이,미견인
2022-11-02 12:24:00,40000,중곡동,서울특별시 광진구 용마산로 66,보도,미견인
2022-11-02 12:55:00,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-02 13:15:00,32000,자양동,227-9,보도,미견인
2022-11-02 14:27:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-02 14:55:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-11-02 15:06:00,50000,구의동,동서울터미널 주차장 앞,주정차금지(황색실선)구역,미견인
2022-11-02 15:07:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-02 15:18:00,50000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-02 15:22:00,40000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-11-02 15:31:00,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-02 15:37:00,40000,중곡동,126-1,교차로,미견인
2022-11-02 15:48:00,40000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-11-02 16:04:00,96000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-02 16:13:00,32000,광장동,광장 힐스테이 상가 건너편,주차금지(황색점선)구역,미견인
2022-11-02 16:20:00,32000,자양동,762-2,보도,미견인
2022-11-02 17:00:00,40000,화양동,481-1,보도,미견인
2022-11-02 17:01:00,32000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-11-02 17:25:00,32000,자양동,서울특별시 광진구 자양로 43,보도,미견인
2022-11-02 17:41:00,32000,자양동,600-15,횡단보도,미견인
2022-11-02 17:48:00,32000,중곡동,서울특별시 광진구 능동로 335,보도,미견인
2022-11-02 17:49:00,40000,자양동,553-517,횡단보도,미견인
2022-11-02 18:01:00,32000,군자동,서울특별시 광진구 능동로 261,보도,미견인
2022-11-02 18:01:00,40000,중곡동,MB모터스 옆,도로 모퉁이,미견인
2022-11-02 18:09:00,32000,중곡동,서울특별시 광진구 긴고랑로 24,보도,미견인
2022-11-02 18:12:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-11-02 18:39:00,32000,중곡동,150-196,횡단보도,미견인
2022-11-02 18:51:00,40000,구의동,서울특별시 광진구 강변역로4길 10,횡단보도,미견인
2022-11-02 18:51:00,40000,중곡동,277-1,횡단보도,미견인
2022-11-02 19:12:00,40000,능동,어린이대공원 정문,주차금지(황색점선)구역,미견인
2022-11-02 19:27:00,40000,자양동,한국보건의료인 국가시험원 앞,보도,미견인
2022-11-02 19:43:00,32000,자양동,김밥타운 앞,주차금지(황색점선)구역,미견인
2022-11-02 19:45:00,32000,광장동,238,보도,미견인
2022-11-02 19:48:00,40000,광장동,396-4,보도,미견인
2022-11-02 19:51:00,50000,구의동,구의동 웰츠타워 앞,교통소통장애,미견인
2022-11-02 19:56:00,40000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-02 20:05:00,32000,자양동,김밥타운 앞,횡단보도,미견인
2022-11-02 20:28:00,50000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-02 20:34:00,40000,광장동,광현교회 앞,주차금지(황색점선)구역,미견인
2022-11-02 20:38:00,40000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-11-02 20:44:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-02 20:52:00,32000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-11-02 23:23:00,40000,구의동,서울특별시 광진구 자양로 316,보도,미견인
2022-11-03 07:02:00,32000,광장동,모두투어앞,주차금지(황색점선)구역,미견인
2022-11-03 07:05:00,40000,능동,서울시민안전체험관 앞,주차금지(황색점선)구역,미견인
2022-11-03 07:10:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-03 07:23:00,40000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인
2022-11-03 07:33:00,40000,중곡동,MB모터스 옆,주차금지(황색점선)구역,미견인
2022-11-03 08:43:00,50000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-03 09:32:00,32000,중곡동,142-36,횡단보도,미견인
2022-11-03 09:41:00,40000,자양동,627-2,횡단보도,미견인
2022-11-03 09:46:00,32000,자양동,710-1,횡단보도,미견인
2022-11-03 10:07:00,50000,화양동,건대입구 3번 출구 앞,주정차금지(황색실선)구역,미견인
2022-11-03 10:14:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-03 10:42:00,40000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-03 10:44:00,40000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-03 10:46:00,32000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-03 11:05:00,32000,중곡동,태양주유소 앞,주차금지(황색점선)구역,미견인
2022-11-03 11:19:00,32000,자양동,서울특별시 광진구 아차산로 294,보도,미견인
2022-11-03 11:32:00,32000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-03 11:43:00,40000,군자동,355-9,보도,미견인
2022-11-03 11:52:00,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-11-03 12:06:00,32000,구의동,서울특별시 광진구 천호대로 704,보도,미견인
2022-11-03 12:07:00,96000,중곡동,중곡지구대 앞,주차금지(황색점선)구역,미견인
2022-11-03 12:26:00,40000,중곡동,우리은행 앞,보도,미견인
2022-11-03 12:47:00,40000,자양동,자양호반써밋플레이스 앞,주차금지(황색점선)구역,미견인
2022-11-03 12:48:00,32000,중곡동,우리은행 앞,주차금지(황색점선)구역,미견인
2022-11-03 12:56:00,50000,구의동,강변역 1번 출구,주정차금지(황색실선)구역,미견인
2022-11-03 13:11:00,40000,군자동,두산위브 앞,주차금지(황색점선)구역,미견인
2022-11-03 13:20:00,130000,자양동,성동초등학교 앞,주정차금지(황색실선)구역,미견인
2022-11-03 13:20:00,40000,중곡동,중곡문화체육센터 앞,주차금지(황색점선)구역,미견인
2022-11-03 14:03:00,32000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-11-03 14:05:00,8000,자양동,710-1,횡단보도,미견인
2022-11-03 14:22:00,40000,구의동,국민은행 앞,주차금지(황색점선)구역,미견인
2022-11-03 14:27:00,96000,자양동,성동초등학교 앞,특별구역,미견인
2022-11-03 14:40:00,40000,광장동,127,보도,미견인
2022-11-03 14:40:00,120000,군자동,노인종합복지관 앞,특별구역,미견인
2022-11-03 14:51:00,120000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-03 15:11:00,32000,자양동,자양동 동제한의원 앞,주차금지(황색점선)구역,미견인
2022-11-03 15:21:00,32000,중곡동,서울특별시 광진구 천호대로 581,보도,미견인
2022-11-03 15:24:00,32000,능동,서울특별시 광진구 천호대로 577-2,보도,미견인
2022-11-03 15:32:00,96000,구의동,프라임아파트 정문(213동),주정차금지(황색실선)구역,미견인
2022-11-03 15:38:00,32000,구의동,동서울터미널 주차장 앞,교통소통장애,미견인
2022-11-03 15:44:00,40000,구의동,구의동 웰츠타워 앞,주차금지(황색점선)구역,미견인
2022-11-03 15:44:00,32000,자양동,CU 자양써밋플레이스점 건너,보도,미견인
2022-11-03 16:00:00,32000,자양동,553-517,횡단보도,미견인
2022-11-03 16:18:00,32000,자양동,자양호반써밋플레이스 앞,주차금지(황색점선)구역,미견인
2022-11-03 16:46:00,64000,광장동,258-36,특별구역,미견인
2022-11-03 16:58:00,96000,자양동,성동초등학교 앞,특별구역,미견인
2022-11-03 17:36:00,40000,능동,군자역 5번가구할인매장앞,주정차금지(황색실선)구역,미견인
2022-11-03 17:40:00,40000,중곡동,서울특별시 광진구 능동로 325,보도,미견인
2022-11-03 17:42:00,32000,자양동,건대역약국 앞,주차금지(황색점선)구역,미견인
2022-11-03 17:45:00,32000,중곡동,서울특별시 광진구 능동로 335,보도,미견인
2022-11-03 17:49:00,130000,자양동,이튼타워리버3차 앞,특별구역,미견인
2022-11-03 18:20:00,32000,중곡동,서울특별시 광진구 영화사로 20,보도,미견인
2022-11-03 18:23:00,32000,구의동,동서울터미널 주차장 앞,주차금지(황색점선)구역,미견인
2022-11-03 18:38:00,32000,자양동,김밥타운 앞,주차금지(황색점선)구역,미견인
2022-11-03 18:53:00,40000,중곡동,서울특별시 광진구 면목로 103,보도,미견인
2022-11-03 18:55:00,120000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-03 18:57:00,32000,구의동,강변 스파랜드 앞,주차금지(황색점선)구역,미견인
2022-11-03 19:17:00,96000,군자동,서울특별시 광진구 군자로 88,특별구역,미견인
2022-11-03 19:17:00,32000,광장동,453-7,버스정류소,미견인
2022-11-03 19:19:00,32000,자양동,584-13,버스정류소,미견인
2022-11-03 19:21:00,32000,구의동,지너스타워 주차장 앞,주정차금지(황색실선)구역,미견인
2022-11-03 19:36:00,40000,군자동,세종대정문,주차금지(황색점선)구역,미견인
2022-11-03 19:38:00,32000,화양동,서울특별시 광진구 아차산로 213,보도,미견인
2022-11-03 19:43:00,40000,중곡동,신성그랜드타워 앞,보도,미견인
2022-11-03 19:54:00,50000,자양동,서울 광진구 자양동 686-52,교통소통장애,미견인
2022-11-03 20:03:00,32000,중곡동,서울특별시 광진구 능동로 399,보도,미견인
2022-11-03 20:04:00,32000,중곡동,서울특별시 광진구 능동로 395,보도,미견인
2022-11-03 20:07:00,32000,군자동,광진광장,주정차금지(황색실선)구역,미견인
