Date,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212
광진구,"351,263","351,032","350,417","350,016","349,800","349,574","349,258","348,647","348,064","347,615","347,285","346,682","346,067","345,248","343,392","343,006","342,812","342,481","342,111","341,505","341,112","340,814","340,339","339,996","340,002","340,494","340,707","340,396","340,062","339,893","339,853","339,567","338,257","337,900","337,713","337,416"
화양동,"22,095","22,180","22,186","22,252","22,307","22,360","22,368","22,416","22,452","22,515","22,605","22,658","22,694","22,714","22,746","22,854","22,894","22,910","22,962","22,993","23,032","23,020","23,020","23,138","23,302","23,527","23,687","23,721","23,739","23,723","23,787","23,754","23,675","23,620","23,562","23,437"
군자동,"19,902","19,897","19,888","19,894","19,935","19,952","19,980","19,940","19,958","19,897","19,936","19,930","19,894","19,882","19,793","19,790","19,824","19,812","19,745","19,744","19,714","19,669","19,633","19,591","19,553","19,535","19,529","19,517","19,516","19,496","19,526","19,560","19,477","19,440","19,411","19,425"
중곡동,"85,235","85,109","85,036","84,935","84,825","84,693","84,613","84,377","84,177","84,016","84,021","83,805","83,578","83,244","82,708","82,565","82,497","82,443","82,400","82,236","82,139","82,011","81,757","81,636","81,584","81,433","81,248","81,124","80,961","80,854","80,773","80,622","80,242","80,290","80,298","80,278"
능동,"11,589","11,634","11,600","11,642","11,685","11,684","11,670","11,646","11,600","11,618","11,602","11,610","11,599","11,527","11,423","11,406","11,424","11,428","11,410","11,386","11,356","11,335","11,311","11,301","11,268","11,269","11,285","11,263","11,247","11,294","11,256","11,285","11,237","11,215","11,190","11,180"
광장동,"35,876","35,981","35,872","35,814","35,794","35,749","35,754","35,704","35,685","35,575","35,528","35,440","35,388","35,336","35,180","35,120","35,071","35,017","34,964","34,891","34,833","34,817","34,764","34,665","34,657","34,593","34,545","34,485","34,408","34,349","34,350","34,370","34,258","34,270","34,236","34,168"
자양동,"97,023","97,023","96,527","96,337","96,181","96,172","96,017","95,816","95,622","95,472","95,122","94,928","94,711","94,538","93,958","93,773","93,729","93,526","93,295","93,038","93,008","93,059","93,060","92,947","92,741","92,615","92,568","92,404","92,258","92,168","92,102","91,972","91,516","91,311","91,311","91,287"
구의동,"79,543","79,377","79,308","79,142","79,073","78,964","78,856","78,748","78,570","78,522","78,471","78,311","78,203","78,007","77,584","77,468","77,377","77,345","77,335","77,190","77,030","76,903","76,794","76,718","76,897","77,522","77,845","77,882","77,933","78,009","78,059","78,004","77,852","77,754","77,705","77,641"
